{label},{type},{food},{description},{address},{area},{town},{phone},{email},{website},{imageURL},{status},{latitude},{longtitude},Longtitude,{postcode},{theListReview},{theHeraldReview},{otherReviews},{vegan score},Calc Category,{foodOrdered},{latlng}
13th Note,Bar;Cafe,Vegetarian,"No longer under the original management, the 13th Note now has a vegetarian, although largely vegan menu.",King Street,Trongate,Glasgow,0141 553 1638,web@13thnote.co.uk,http://www.13thnote.co.uk/,http://www.13thnote.co.uk/images/gpb.jpg,Open,55.856,-4.24706,,G1 5QT,http://www.list.co.uk/place/10481-13th-note-cafe/,,http://www.happycow.net/reviews.php?id=1092,4,2,2. Vegetarian,"55.856,-4.24706"
Adelaides,Bed & Breakfast ,Omni,"No longer recommended! Previously listed as catering for vegan diets, but this is not the case. Now vegan un-friendly and staff unhelpful.",209 Bath Street,City Centre,Glasgow,0141 248 4970,,,,No Longer Recommended,,,,,,,,-4,3,3. Omni
Air Organic,Restaurant,Omni,Used to be a Pacific Rim organic restaurant with good vegan options. Veggie choice diminished after change of management. Closed down in 2006,36 Kelvingrove Street,Kelvingrove,Glasgow,,,,,Closed,,,,,,,,,3,3. Omni
Alishan,Indian Restaurant,Omni,Standard neighbourhood Indian restaurant with above-average vegan service (thanks largely to once having a buddhist vegan chef). Vegan meals explicitly marked on the menu,250 Battlefield Road,Battlefield,Glasgow,0141 632 5294,,,,Open,55.825,-4.26218,,G42 9HU,http://www.list.co.uk/place/100591-alishan/,,,3,3,3. Omni,"55.825,-4.26218"
Alla Turca,Turkish Restaurant,Omni,Turkish restaurant with good veggie mezze selection,192 Pitt Street,City Centre,Glasgow,0141 332 5300,info@allaturca.co.uk,http://www.allaturca.co.uk/,,Open,55.865,-4.265,,G2 4DY,,http://www.theherald.co.uk/goingout/food/display.var.1681424.0.Alla_Turka.php,http://www.glasgowwestend.co.uk/eating/allaturca.php,,3,3. Omni,"55.865,-4.265"
Andreas,Delicatessen,Omni,"Excellent quality Greek Cypriot specialities, good vegetarian selection. N.B.falafel and keftedes are not vegan.",27 Old Dumbarton Road,Yorkhill,Glasgow,0141 576 5031,,,,Closed,,,,,,,,,3,3. Omni
Argan Cafe,Moroccan Restaurant,Omni,Large vegetarian selection in menu and a few vegan or veganizable,1166-1170 Argyle Street,Kelvingrove,Glasgow,0141 560 2070,,,,Closed,55.8655,-4.28636,,G3 8TE,http://www.list.co.uk/place/102656-argan-cafe/,,,,3,3. Omni,"55.8655,-4.28636"
Argyll Hotel,Hotel,Omni,"Hotel which has had occasional vegan nights in restaurant, and planned to have hot vegan breakfasts. Phone for current vegan support. See also Sutherlands Restaurant",973 Sauchiehall Street,Kelvingrove,Glasgow,0141 337 3313,,http://www.argyllhotelglasgow.co.uk,http://images.activehotels.com/images/hotel/max200/789/789475.jpg,Open,55.8663,-4.28676,,G3 7TQ,,,,,3,3. Omni,"55.8663,-4.28676"
Arisaig,Scottish Restaurant,Omni,"Smart Scottish restaurant, vegan options available",1 Merchant Square,Candleriggs,Glasgow,0141 553 1010,info@arisaigrestaurant.co.uk,http://www.arisaigrestaurant.co.uk/,http://www.arisaigrestaurant.co.uk/images/interior140.jpg,Open,55.858396,-4.24545,,G1 1LE,http://www.list.co.uk/place/102587-arisaig/,,,3,3,3. Omni,"55.858396,-4.24545"
Balbir's Balti,Indian Restaurant,Vegetarian,"No longer exclusively vegetarian, but still with vegan & vegetarian dishes. Family run. Vegetarian and non-vegetarian food prepared separately.",Hyndland Street,Partick,Glasgow,,,,,Closed,,,,,,,,,2,2. Vegetarian
